Sl.no,Petroleum Products,Banks,Software,Finance,Consumer Non Durables,Telecom - Services,Construction Project,Auto,Pharmaceuticals,Power,Consumer Durables,Cement,Ferrous Metals,Oil,Minerals/Mining,Pesticides,Non - Ferrous Metals,Transportation,Media & Entertainment,Gas,Telecom - Equipment & Accessories
0,Reliance Industries Ltd.,HDFC Bank Ltd.,Infosys Limited,Housing Development Fin. Corp. Ltd.Â£,Hindustan Unilever Ltd.,Bharti Airtel Ltd.,Larsen and Toubro Ltd.,Maruti Suzuki India Limited,Sun Pharmaceutical Industries Ltd.,NTPC Limited,Titan Company Ltd.,UltraTech Cement Limited,Tata Steel Ltd.,Oil & Natural Gas Corporation Ltd.,Coal India Ltd.,UPL Ltd.,Hindalco Industries Ltd.,Adani Ports & Special Economic Zone,Zee Entertainment Enterprises Ltd.,GAIL (India) Ltd.,Bharti Infratel Ltd.
1,Bharat Petroleum Corporation Ltd.,ICICI Bank Ltd.,Tata Consultancy Services Ltd.,Bajaj Finance Ltd.,ITC Ltd.,NaN,NaN,Mahindra & Mahindra Ltd.,Dr Reddys Laboratories Ltd.,Power Grid Corporation of India Ltd.,NaN,Shree Cement Ltd.,JSW Steel Ltd.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Indian Oil Corporation Ltd.,Kotak Mahindra Bank Limited,HCL Technologies Ltd.,HDFC Life Insurance Company Limited,Asian Paints Limited,NaN,NaN,Hero MotoCorp Ltd.,Cipla Ltd.,NaN,NaN,Grasim Industries Ltd.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,Axis Bank Ltd.,Tech Mahindra Ltd.,Bajaj Finserv Ltd.,Nestle India Ltd.,NaN,NaN,Bajaj Auto Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,State Bank of India,Wipro Ltd.,NaN,Britannia Industries Ltd.,NaN,NaN,Eicher Motors Ltd.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,Indusind Bank Ltd.,NaN,NaN,NaN,NaN,NaN,Tata Motors Ltd.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,1,1,1,1,1,,1,1,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Feasible,,,,,,,,,,,,,,,,,,,,
,Expensive,,,,,,,,,,,,,,,,,,,,
